Time,Sample,Phase
30995, 0.349727, 0.0573163
30995, 1, 0.0573163
30996, 0.352395, 0.0577699
30996, 1, 0.0577699
30997, 0.35506, 0.0582234
30997, 1, 0.0582234
30998, 0.357723, 0.0586769
30998, 1, 0.0586769
30999, 0.360382, 0.0591304
30999, 1, 0.0591304
31000, 0.363039, 0.0595839
31000, 1, 0.0595839
31001, 0.365693, 0.0600374
31001, 1, 0.0600374
31002, 0.368343, 0.0604909
31002, 1, 0.0604909
31003, 0.370991, 0.0609445
31003, 1, 0.0609445
31004, 0.373636, 0.061398
31004, 1, 0.061398
31005, 0.376277, 0.0618515
31005, 1, 0.0618515
31006, 0.378916, 0.062305
31006, 1, 0.062305
31007, 0.381551, 0.0627585
31007, 1, 0.0627585
31008, 0.384184, 0.063212
31008, 1, 0.063212
31009, 0.386813, 0.0636655
31009, 1, 0.0636655
31010, 0.389439, 0.0641191
31010, 1, 0.0641191
31011, 0.392062, 0.0645726
31011, 1, 0.0645726
31012, 0.394682, 0.0650261
31012, 1, 0.0650261
31013, 0.397298, 0.0654796
31013, 1, 0.0654796
31014, 0.399912, 0.0659331
31014, 1, 0.0659331
31015, 0.402522, 0.0663866
31015, 1, 0.0663866
31016, 0.405129, 0.0668402
31016, 1, 0.0668402
31017, 0.407732, 0.0672937
31017, 1, 0.0672937
31018, 0.410332, 0.0677472
31018, 1, 0.0677472
31019, 0.412929, 0.0682007
31019, 1, 0.0682007
31020, 0.415523, 0.0686542
31020, 1, 0.0686542
31021, 0.418113, 0.0691077
31021, 1, 0.0691077
31022, 0.4207, 0.0695613
31022, 1, 0.0695613
31023, 0.423283, 0.0700148
31023, 1, 0.0700148
31024, 0.425863, 0.0704683
31024, 1, 0.0704683
31025, 0.42844, 0.0709218
31025, 1, 0.0709218
31026, 0.431013, 0.0713753
31026, 1, 0.0713753
31027, 0.433582, 0.0718288
31027, 1, 0.0718288
31028, 0.436148, 0.0722824
31028, 1, 0.0722824
